index,Unassigned;__;__,k__Fungi;__;__,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Ascomycota;__,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Ascomycota;c__unidentified,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Dacrymycetes,k__Fungi;p__Basidiomycota;c__GS25,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Basidiomycota;c__Tritirachiomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Blastocladiomycota;c__unidentified,k__Fungi;p__Calcarisporiellomycota;c__Calcarisporiellomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;c__Synchytriomycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Entorrhizomycota;c__Entorrhizomycetes,k__Fungi;p__Glomeromycota;__,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Glomeromycota;c__unidentified,k__Fungi;p__Kickxellomycota;__,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Kickxellomycota;c__unidentified,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Mucoromycota;c__Endogonomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes,k__Fungi;p__Rozellomycota;__,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Zoopagomycota;c__unidentified,k__Fungi;p__unidentified;c__unidentified
SE4622_J4816,2215.0,22.0,0.0,11.0,7.0,162.0,1722.0,0.0,0.0,5.0,72.0,139.0,0.0,8.0,9.0,1955.0,15.0,0.0,0.0,354.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,6.0,0.0,141.0,3.0,0.0,0.0,14.0,44.0,5.0,336.0,0.0,31.0,0.0,0.0,219.0,124.0,0.0,0.0,39.0
SE4623_J4816,684.0,0.0,0.0,7.0,0.0,396.0,1190.0,0.0,0.0,23.0,67.0,33.0,8.0,0.0,2.0,2973.0,41.0,0.0,0.0,696.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,988.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,2.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,58.0,21.0,0.0,441.0,0.0,18.0,0.0,0.0,297.0,85.0,0.0,0.0,28.0
SE4624_J4816,1182.0,0.0,0.0,28.0,0.0,506.0,1230.0,0.0,0.0,15.0,101.0,54.0,35.0,7.0,0.0,3452.0,142.0,0.0,0.0,908.0,0.0,141.0,3.0,0.0,0.0,2.0,2.0,0.0,8.0,459.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,100.0,0.0,0.0,79.0,12.0,0.0,231.0,0.0,47.0,0.0,0.0,765.0,102.0,10.0,0.0,96.0
SE4625_J4816,1908.0,5.0,0.0,18.0,0.0,341.0,1473.0,0.0,2.0,0.0,60.0,14.0,18.0,3.0,7.0,1899.0,27.0,0.0,0.0,479.0,0.0,12.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,221.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,48.0,0.0,0.0,19.0,7.0,0.0,180.0,0.0,40.0,0.0,0.0,279.0,53.0,21.0,0.0,70.0
SE4626_J4816,414.0,9.0,0.0,28.0,30.0,136.0,1738.0,25.0,0.0,241.0,1846.0,0.0,23.0,2.0,14.0,1957.0,0.0,0.0,0.0,551.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,23.0,882.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,18.0,4.0,0.0,301.0,0.0,54.0,0.0,0.0,7.0,18.0,0.0,0.0,6.0
SE4627_J4816,946.0,2.0,0.0,17.0,0.0,78.0,1734.0,403.0,0.0,13.0,1504.0,14.0,0.0,0.0,8.0,1572.0,19.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,561.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,8.0,0.0,81.0,0.0,0.0,0.0,17.0,3.0,0.0,180.0,0.0,30.0,0.0,0.0,24.0,18.0,0.0,0.0,3.0
SE4628_J4816,417.0,48.0,0.0,62.0,5.0,294.0,1637.0,0.0,0.0,0.0,1449.0,4.0,0.0,0.0,2.0,2367.0,117.0,0.0,2.0,209.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1163.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,12.0,27.0,4.0,0.0,0.0,0.0,4.0,11.0,20.0,0.0,0.0,0.0,3.0,57.0,0.0,416.0,0.0,7.0,0.0,5.0,19.0,32.0,0.0,0.0,42.0
SE4629_J4816,1209.0,2.0,0.0,84.0,0.0,408.0,1205.0,0.0,0.0,0.0,1214.0,6.0,98.0,2.0,0.0,2556.0,57.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1114.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,22.0,0.0,0.0,7.0,11.0,0.0,198.0,0.0,15.0,0.0,0.0,32.0,15.0,0.0,0.0,158.0
SE4630_J4816,468.0,7.0,0.0,37.0,5.0,702.0,2134.0,0.0,0.0,8.0,1453.0,18.0,18.0,0.0,0.0,2241.0,21.0,0.0,0.0,491.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,2.0,0.0,9.0,2.0,58.0,0.0,0.0,0.0,3.0,53.0,0.0,170.0,0.0,138.0,0.0,0.0,29.0,21.0,0.0,0.0,50.0
SE4631_J4816,1015.0,4.0,0.0,107.0,9.0,285.0,1479.0,0.0,0.0,0.0,1429.0,7.0,8.0,9.0,0.0,2779.0,4.0,0.0,0.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,0.0,56.0,88.0,0.0,0.0,0.0,2.0,153.0,0.0,181.0,0.0,134.0,0.0,0.0,27.0,50.0,0.0,0.0,137.0
SE4632_J4816,2329.0,7.0,0.0,11.0,0.0,552.0,1743.0,0.0,0.0,44.0,158.0,77.0,9.0,0.0,9.0,2986.0,49.0,0.0,97.0,702.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,178.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,26.0,0.0,13.0,137.0,21.0,0.0,0.0,4.0,27.0,0.0,214.0,2.0,32.0,0.0,0.0,16.0,170.0,0.0,0.0,34.0
SE4633_J4816,1700.0,5.0,0.0,9.0,0.0,376.0,2145.0,0.0,0.0,31.0,200.0,88.0,14.0,0.0,16.0,2808.0,20.0,0.0,81.0,808.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,2.0,66.0,0.0,0.0,46.0,5.0,0.0,0.0,2.0,48.0,0.0,211.0,0.0,38.0,0.0,0.0,65.0,29.0,0.0,0.0,25.0
SE4634_J4816,1196.0,0.0,0.0,34.0,5.0,813.0,1445.0,0.0,0.0,89.0,172.0,52.0,0.0,0.0,31.0,2654.0,0.0,0.0,0.0,669.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,53.0,3.0,0.0,0.0,0.0,22.0,0.0,137.0,4.0,32.0,0.0,0.0,300.0,78.0,0.0,0.0,78.0
