Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
SE4616_J4816_S229_L001_R1_001	94.56827121183743	52.0	297.3662670912156	36.36363636363637	10678.0	8.02784205205256	3.1	95.06735340729001	52.0	250.0	36.36363636363637	10096.0
SE4617_J4816_S230_L001_R1_001	91.74715735419977	54.0	293.9826384643599	36.36363636363637	8179.0	10.494241768771593	4.79	93.866958065838	54.0	250.0	36.36363636363637	7321.0
SE4618_J4816_S231_L001_R1_001	93.87558972566836	53.0	297.22627992311726	36.36363636363637	11446.0	9.189361967404396	4.93	94.87008024455483	53.0	250.0	36.36363636363637	10468.0
SE4619_J4816_S232_L001_R1_001	93.82556459584822	51.0	297.60512508554484	36.36363636363637	13151.0	9.025510961503722	4.29	94.94733377221857	51.0	250.0	36.36363636363637	12152.0
SE4620_J4816_S233_L001_R1_001	94.05909306367515	56.0	297.5944066993206	36.36363636363637	12658.0	8.546077888627615	4.19	95.03865431993883	56.0	250.0	36.36363636363637	11771.0
SE4621_J4816_S234_L001_R1_001	92.86124401913875	54.0	296.74105263157895	36.36363636363637	10450.0	9.48928086488439	4.26	94.40676197432954	54.0	250.0	36.36363636363637	9583.0
SE4622_J4816_S235_L001_R1_001	93.13313117480192	52.0	295.9390589846425	36.36363636363637	10223.0	9.490004733111705	3.75	94.39829605963791	52.0	250.0	36.36363636363637	9390.0
SE4623_J4816_S236_L001_R1_001	92.88132116114473	51.0	296.73874243512154	36.36363636363637	9749.0	9.819125642099998	3.71	94.3979466577391	51.0	250.0	36.36363636363637	8961.0
SE4624_J4816_S237_L001_R1_001	93.35837459450231	52.0	296.58630698309713	36.36363636363637	11714.0	8.81003515375165	4.68	94.91839762611276	52.0	250.0	36.36363636363637	10784.0
SE4625_J4816_S238_L001_R1_001	93.07873090481786	53.0	298.5855464159812	36.36363636363637	8510.0	8.16457671184201	4.66	93.55936475926393	53.0	250.0	36.36363636363637	7934.0
SE4626_J4816_S239_L001_R1_001	94.40058175773946	52.0	298.1490754207355	36.36363636363637	9626.0	8.099257017588155	3.59	95.06499228905045	52.0	250.0	36.36363636363637	9078.0
SE4627_J4816_S240_L001_R1_001	92.90669980325153	53.0	295.5419902661282	36.36363636363637	9657.0	10.001376109685395	3.84	94.80548939548599	53.0	250.0	36.36363636363637	8817.0
SE4628_J4816_S241_L001_R1_001	94.01949944718062	53.0	296.7074077796764	36.36363636363637	9949.0	8.4982803236711	4.15	94.72318339100346	53.0	250.0	36.36363636363637	9248.0
SE4629_J4816_S242_L001_R1_001	93.95840803155252	55.0	296.53137325206166	36.36363636363637	11156.0	9.171550595894779	8.47	95.36565491953554	55.0	250.0	36.36363636363637	9818.0
SE4630_J4816_S243_L001_R1_001	94.89288619723402	53.0	296.12709030100336	36.36363636363637	11063.0	8.130879662712372	8.1	95.33705017739483	52.0	250.0	36.36363636363637	9865.0
SE4631_J4816_S244_L001_R1_001	92.90489348426776	52.0	297.47196719850257	36.36363636363637	11219.0	9.611346851278135	4.01	94.94186046511628	52.0	250.0	36.36363636363637	10320.0
SE4632_J4816_S245_L001_R1_001	93.69702434625789	52.0	297.2207394048693	36.36363636363637	11090.0	8.653749614396354	4.01	94.39270469538222	52.0	250.0	36.36363636363637	10308.0
SE4633_J4816_S246_L001_R1_001	95.22255192878339	52.0	296.42067260138475	36.36363636363637	10110.0	7.272076142109955	3.66	94.68497746094978	52.0	250.0	36.36363636363637	9539.0
