"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.f__Coniochaetaceae",562,0,27,0,0,0,0,4
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.g__Spegazzinia",0,73,7,169,339,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cordycipitaceae",0,7,23,121,114,149,170,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.2",0,81,0,0,503,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.9",291,0,121,0,0,10,152,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__unidentified.s__unidentified",0,0,0,141,0,431,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.3",101,0,26,0,0,11,430,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.3",276,0,30,23,0,0,0,237
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified",17,10,35,3,5,323,169,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.2",235,0,72,0,0,212,40,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae",0,0,0,0,0,337,0,222
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified",0,0,0,0,0,559,0,0
"k__Fungi.p__Basidiomycota.2",0,105,0,0,451,0,0,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Arthrobotrys",81,28,203,188,14,25,16,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified",0,18,0,13,379,0,141,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Absidia.s__unidentified",95,12,258,25,0,135,20,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Absidia.s__unidentified.1",137,0,202,0,0,73,121,9
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.5",0,0,0,0,0,0,535,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Absidia.s__unidentified.2",244,27,126,0,7,19,104,7
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__unidentified.s__unidentified.1",2,105,5,142,31,217,27,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Absidia.s__unidentified.3",154,0,154,0,0,35,158,23
"k__Fungi.p__Ascomycota.1",0,0,0,0,0,0,0,523
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.2",302,0,163,0,0,43,5,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__unidentified.s__unidentified.2",0,0,0,0,0,509,0,2
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.3",222,0,144,0,0,0,142,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.1",45,0,51,0,0,207,202,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Lyophyllaceae.g__Lyophyllum",0,24,313,58,56,41,13,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.s__Metarhizium_anisopliae.3",0,48,0,51,237,40,82,44
"k__Fungi.p__Chytridiomycota.c__Rhizophydiomycetes.o__Rhizophydiales.f__Terramycetaceae.g__Terramyces.s__unidentified",0,45,53,56,32,2,297,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_solani",0,0,46,113,256,0,63,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Entolomataceae.g__Entoloma",10,100,47,2,5,0,311,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.1",0,0,0,0,474,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified",470,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes",19,78,18,208,134,9,3,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.g__Mycena",0,0,465,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.2",75,30,67,19,0,112,0,152
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.3",0,403,0,0,50,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales",7,45,0,24,373,0,0,0
"k__Fungi.p__Ascomycota.2",313,0,103,0,3,0,14,13
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.2",174,0,207,0,0,0,61,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.3",0,20,0,121,295,6,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.1",0,126,0,82,219,14,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Geastrales.f__Geastraceae.g__Geastrum",0,0,0,0,0,438,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.6",0,0,0,0,0,434,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.4",0,22,49,6,65,0,290,0
"k__Fungi.p__Ascomycota.c__Geoglossomycetes.o__Geoglossales.f__Geoglossaceae.g__Glutinoglossum",0,0,0,0,0,428,0,4
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.s__Trichoderma_hamatum",66,14,134,48,0,75,0,91
