"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.17",0,0,0,0,16,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.38",0,0,0,0,16,0,0,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Mucoraceae.g__Apophysomyces",0,0,0,0,0,0,0,16
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.s__unidentified.13",0,0,0,0,0,0,0,16
"k__Fungi.p__Kickxellomycota.c__GS19.o__unidentified.f__unidentified.g__unidentified.s__unidentified.6",0,0,0,0,0,0,0,16
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Clonostachys.11",0,0,0,0,0,0,0,16
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__unidentified.g__unidentified.s__unidentified.6",0,0,0,0,0,0,0,16
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.31",0,0,0,0,0,0,0,16
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Clavulinopsis.s__unidentified.4",0,0,0,0,0,0,0,16
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified.12",0,0,0,0,0,0,0,16
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.57",0,0,0,0,0,0,0,16
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.18",0,0,0,16,0,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.17",0,0,0,16,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Tremellodendropsidales.f__unidentified.g__unidentified.s__unidentified.2",15,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Dermateaceae.g__unidentified.s__unidentified",11,0,4,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.32",15,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.47",7,0,8,0,0,0,0,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__Kickxellaceae.g__Ramicandelaber.s__unidentified.14",15,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.11",10,0,0,0,0,5,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.20",15,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.42",15,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Geminibasidiomycetes.o__Geminibasidiales.f__Geminibasidiaceae.g__Geminibasidium",9,0,2,0,0,0,4,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Entolomataceae",15,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Onygenaceae.2",11,0,4,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__unidentified.g__unidentified.s__unidentified.11",15,0,0,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.27",0,3,12,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.11",0,0,8,0,0,0,7,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.6",0,0,15,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.50",0,0,15,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales",0,15,0,0,0,0,0,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__unidentified.g__unidentified.s__unidentified.5",0,5,0,10,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.58",0,6,0,0,0,0,9,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.39",0,7,0,2,6,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.10",0,12,0,0,3,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.8",0,15,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Agaricus.s__unidentified",0,8,0,0,7,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.28",0,0,0,0,0,0,15,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.19",0,0,0,0,0,0,15,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Tubeufiales.3",0,0,0,2,0,3,10,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Sporocadaceae.g__Neopestalotiopsis.1",0,0,0,0,0,3,12,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.2",0,0,0,0,0,0,15,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.9",0,0,0,0,0,0,15,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.59",0,0,0,0,0,0,15,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Stachybotryaceae.10",0,0,0,0,0,0,15,0
"k__Fungi.p__Calcarisporiellomycota.c__Calcarisporiellomycetes.o__Calcarisporiellales.f__Calcarisporiellaceae.g__Calcarisporiella",0,0,0,0,0,15,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__unidentified.g__unidentified.s__unidentified.5",0,0,0,0,0,15,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__Chaetosphaeria.11",0,0,0,0,0,7,0,8
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Clavaria.s__unidentified.2",0,0,0,0,0,15,0,0
"k__Fungi.p__Glomeromycota.c__Archaeosporomycetes.o__Archaeosporales.3",0,0,0,0,0,15,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Onygenales_fam_Incertae_sedis",0,0,0,0,15,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.60",0,0,0,4,11,0,0,0
"k__Fungi.p__Glomeromycota.c__Paraglomeromycetes.o__Paraglomerales.f__unidentified.g__unidentified.s__unidentified.2",0,0,0,11,4,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.33",0,0,0,0,15,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.23",0,0,0,0,15,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.32",0,0,0,0,0,0,0,15
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Sporocadaceae.g__Pestalotiopsis.2",0,0,0,0,0,0,0,15
"k__Fungi.p__Mucoromycota.c__Endogonomycetes.o__Endogonales.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,0,0,0,15
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Galerina.2",0,0,0,0,0,0,0,15
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.40",0,0,0,0,0,0,0,15
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.58",0,0,0,0,0,0,0,15
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Sebacinales.f__Sebacinaceae.g__Sebacina.s__unidentified",0,0,0,15,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.5",14,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.61",14,0,0,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS08.f__unidentified.g__unidentified.s__unidentified",7,0,0,0,0,5,2,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.1",14,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.9",2,0,0,0,0,0,12,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Brachysporium",5,0,9,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__unidentified.g__unidentified.s__unidentified.9",3,11,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.62",14,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Ajellomycetaceae.g__Histoplasma",6,4,4,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.11",14,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.63",14,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Pyronemataceae.g__unidentified.s__unidentified",14,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Agaricus.5",6,0,4,0,0,0,4,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.7",8,0,0,0,0,0,6,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Diaporthaceae.g__Diaporthe.1",3,0,4,0,0,7,0,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.3",14,0,0,0,0,0,0,0
"k__Fungi.p__Chytridiomycota.c__Rhizophydiomycetes.o__Rhizophydiales.f__unidentified.g__unidentified.s__unidentified.3",5,0,0,0,0,0,0,9
"k__Fungi.p__Ascomycota.c__Dothideomycetes.12",0,0,10,0,0,4,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.29",0,0,14,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.18",0,0,14,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Biscogniauxia",0,0,14,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.48",0,0,14,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.30",0,0,14,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.13",0,0,14,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__unidentified.g__unidentified.s__unidentified.11",0,0,14,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.20",0,0,14,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__unidentified.g__unidentified.s__unidentified.12",0,0,14,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__Glomus.1",0,6,0,0,8,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales.f__Russulaceae.g__Lactifluus.s__Lactifluus_pseudoluteopus",0,3,0,8,3,0,0,0
"k__Fungi.p__Glomeromycota.c__Paraglomeromycetes.o__Paraglomerales.f__Paraglomeraceae.g__Paraglomus.s__Paraglomus_laccatum",0,10,0,0,4,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Lycoperdaceae.g__Calvatia",0,5,0,0,0,0,9,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.12",0,14,0,0,0,0,0,0
"k__Fungi.p__Chytridiomycota.c__Rhizophydiomycetes.o__Rhizophydiales.f__Rhizophydiales_fam_Incertae_sedis.g__Operculomyces",0,0,0,0,0,0,14,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.49",0,0,0,0,0,0,14,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Plectosphaerellaceae.g__Plectosphaerella.2",0,0,0,0,0,0,14,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariales_fam_Incertae_sedis.g__Conlarium.s__unidentified.2",0,0,0,0,0,0,14,0
"k__Fungi.p__Basidiomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.5",0,0,0,0,0,0,14,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__unidentified.g__unidentified.s__unidentified.6",0,0,0,0,0,0,14,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.45",0,0,0,0,0,0,14,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Tetragoniomycetaceae.g__unidentified.s__unidentified.2",0,0,0,0,6,0,8,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Pluteaceae.g__Pluteus.3",0,0,0,0,0,0,14,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__Thozetella",0,0,0,0,0,3,9,2
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Xylaria.1",0,0,0,0,0,0,14,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__unidentified.s__unidentified.2",0,0,0,0,0,0,14,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.31",0,0,0,0,0,8,0,6
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.59",0,0,0,0,0,14,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__Glomus.2",0,0,0,0,0,14,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.46",0,0,0,0,0,14,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.27",0,0,0,0,0,4,0,10
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__unidentified.g__unidentified.s__unidentified.12",0,0,0,0,0,14,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__unidentified.s__unidentified.4",0,0,0,0,0,14,0,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__unidentified.g__unidentified.s__unidentified.3",0,0,0,0,14,0,0,0
"k__Fungi.p__Ascomycota.17",0,0,0,0,14,0,0,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__Kickxellaceae.g__Ramicandelaber.s__unidentified.15",0,0,0,0,14,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Calosphaeriales.f__Calosphaeriaceae.g__Jattaea",0,0,0,0,0,0,0,14
"k__Fungi.p__Mucoromycota.c__Umbelopsidomycetes.o__GS23.f__unidentified.g__unidentified.s__unidentified",0,0,0,0,0,0,0,14
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis",0,0,0,0,0,0,0,14
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.16",0,0,0,0,0,0,0,14
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Tolypocladium.4",0,0,0,0,0,0,0,14
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.9",0,0,0,0,0,0,0,14
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Ramariopsis.s__unidentified.1",0,0,0,0,0,0,0,14
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.41",0,0,0,14,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Paraglomeromycetes.3",0,0,0,14,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.60",0,0,0,14,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Exophiala.8",3,0,10,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Entolomataceae.g__Clitopilus.s__unidentified.5",13,0,0,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Claroideoglomeraceae.g__Claroideoglomus.s__unidentified",13,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Cladophialophora.s__unidentified.4",13,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.47",13,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.27",13,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.43",13,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Thelonectria.1",7,3,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.42",13,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.8",13,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.13",8,0,5,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.43",13,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.44",13,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Reticulascaceae",4,0,9,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.2",0,0,11,0,0,0,2,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Microascaceae.g__Microascus.1",0,0,13,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Sporormiaceae.2",0,4,2,0,0,0,7,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.10",0,0,4,0,0,0,9,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Paracremonium.2",0,0,13,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__unidentified.g__unidentified.s__unidentified.13",0,8,5,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.19",0,0,3,0,0,0,10,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.51",0,0,3,0,0,0,10,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.52",0,7,6,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.45",0,0,13,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.3",0,5,8,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Agaricus.6",0,0,8,0,0,5,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Helminthosphaeriaceae.g__Spadicoides.1",0,0,13,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.17",0,0,13,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Ilyonectria.3",0,0,13,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.20",0,0,4,0,0,9,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__unidentified.s__unidentified.3",0,13,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.7",0,7,0,6,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.11",0,13,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.11",0,6,0,0,7,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.53",0,10,0,0,3,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.14",0,9,0,0,4,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified.13",0,13,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__unidentified.g__unidentified.s__unidentified.10",0,13,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Clavulinopsis.1",0,13,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.4",0,13,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Dictyosporiaceae.g__Dictyosporium",0,3,0,0,10,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.24",0,13,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.54",0,5,0,8,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.46",0,0,0,0,0,0,13,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.34",0,0,0,0,0,0,13,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.29",0,0,0,0,0,0,13,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.6",0,0,0,0,0,0,13,0
"k__Fungi.p__Basidiomycota.c__Microbotryomycetes.o__Leucosporidiales.f__Leucosporidiaceae.g__Leucosporidium",0,0,0,0,0,0,3,10
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.21",0,0,0,0,0,0,13,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.32",0,0,0,0,7,0,6,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.10",0,0,0,0,0,0,13,0
"k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.2",0,0,0,0,0,0,13,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.10",0,0,0,0,0,13,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.s__Penicillium_bilaiae.1",0,0,0,0,0,13,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.47",0,0,0,0,0,13,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.10",0,0,0,6,0,7,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Sporidesmium.s__unidentified",0,0,0,0,13,0,0,0
"k__Fungi.p__Chytridiomycota.c__Rhizophydiomycetes.o__Rhizophydiales.f__Rhizophydiales_fam_Incertae_sedis.g__Operculomyces.1",0,0,0,3,10,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.9",0,0,0,0,13,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.33",0,0,0,0,13,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.11",0,0,0,2,11,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiaceae.g__Scytalidium",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__Sordariomycetes.55",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.48",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__unidentified.g__unidentified.s__unidentified.6",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales.f__Ophiostomataceae.1",0,0,0,0,0,0,0,13
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.34",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.23",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.27",0,0,0,0,0,0,0,13
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.18",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.64",0,0,0,0,0,0,0,13
