"","Taxonomy","Forest A1","Forest A2","Forest B1","Forest B2","Forest C1","Forest C2","Forest Interior A1","Forest Interior A2","Forest Interior B1","Forest Interior B2","Forest Interior C1","Forest Interior C2","Forest Exterior A1","Forest Exterior A2","Forest Exterior B1","Forest Exterior B2","Forest Exterior C1","Forest Exterior C2","Pioneer Near A1","Pioneer Near A2","Pioneer Near B1","Pioneer Near B2","Pioneer Near C1","Pioneer Near C2","Pioneer Far A1","Pioneer Far A2","Pioneer Far B1","Pioneer Far B2","Pioneer Far C1","Pioneer Far C2","Grass Near A1","Grass Near A2","Grass Near B1","Grass Near B2","Grass Near C1","Grass Near C2","UMNR A1","UMNR A2","UMNR B1","UMNR B2","UMNR C1","UMNR C2","Grass Far A2","Grass Far  B1","Grass Far  B2","Grass Far C1 ","Grass Far C2","guild"
"83","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales;f__Phallaceae;g__Phallus",61,32,34,17,20,18,25,32,77,94,80,49,0,17,0,5,42,20,12,33,16,58,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,"Litter Saprotroph-Soil Saprotroph-Wood Saprotroph"
"84","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium",0,0,73,89,99,200,0,0,0,0,80,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,13,0,0,7,46,0,0,0,0,0,"Plant Saprotroph-Wood Saprotroph"
"89","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",0,0,0,36,66,92,0,0,0,0,46,0,0,0,0,0,0,0,78,47,0,0,60,23,35,39,43,35,49,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph"
"91","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae",0,10,2,0,0,0,0,4,3,2,9,0,18,74,56,14,32,68,0,0,7,0,25,27,0,0,0,0,0,0,49,10,4,30,58,59,0,0,0,0,0,0,16,19,104,16,12,"Plant Saprotroph-Wood Saprotroph"
"92","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,"Ectomycorrhizal-Fungal Parasite"
"93","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Monascus",0,0,17,9,20,50,70,55,0,6,30,8,18,13,30,12,6,15,21,79,40,7,16,18,3,0,3,2,0,10,4,0,0,62,72,0,0,0,0,0,0,0,2,8,0,0,10,"Undefined Saprotroph"
"98","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae",0,0,0,0,0,0,0,6,0,0,0,0,23,0,14,15,0,0,0,0,64,0,0,0,48,69,0,0,28,122,4,0,0,34,210,0,21,0,0,5,0,0,0,0,0,34,0,"Lichenized-Undefined Saprotroph"
"99","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,47,193,0,26,387,0,0,0,0,0,"Animal Pathogen-Fungal Parasite-Undefined Saprotroph"
"100","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Mycoleptodiscus",0,0,17,5,0,0,3,6,0,0,95,10,0,0,3,0,0,0,63,33,54,28,50,60,158,74,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,4,0,0,0,"Plant Pathogen"
"101","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae",0,0,0,0,0,0,0,0,0,0,0,0,71,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,27,12,87,50,0,0,0,0,0,0,27,40,51,0,136,"Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph"
"102","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales;f__Ophiostomataceae;g__Sporothrix",0,0,6,24,63,134,0,0,0,0,98,3,0,0,0,0,0,3,115,218,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Plant Pathogen"
"104","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,283,103,0,0,0,0,0,0,0,0,140,0,0,18,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,"Animal Pathogen-Fungal Parasite-Undefined Saprotroph"
"107","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces",99,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,118,188,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Undefined Saprotroph"
"108","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,516,0,0,0,0,0,0,0,"Ectomycorrhizal-Undefined Saprotroph"
"110","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",29,23,0,0,0,9,13,0,48,12,23,23,0,0,0,0,0,0,13,13,0,11,0,0,13,30,105,132,33,59,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,"Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph"
"111","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe",0,65,0,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,466,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Ectomycorrhizal-Undefined Saprotroph"
"112","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_simplicissimum",26,40,37,48,49,32,26,32,31,59,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,0,0,0,0,19,53,0,0,0,0,0,15,0,0,0,18,0,"Wood Saprotroph"
"114","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Spegazzinia",0,0,0,0,0,0,4,3,0,0,0,0,0,2,34,37,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,37,261,37,0,0,0,0,0,0,9,13,114,18,15,"Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph"
"116","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,309,149,0,0,0,0,0,0,0,0,0,0,0,0,"Animal Pathogen-Fungal Parasite-Undefined Saprotroph"
"118","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,"Lichenized-Undefined Saprotroph"
"119","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces",0,17,0,18,31,35,15,0,0,0,0,11,0,0,0,0,0,0,95,178,49,13,46,49,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Undefined Saprotroph"
"123","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,82,34,42,24,40,0,0,0,0,0,0,37,31,38,33,30,53,0,0,0,0,0,"Plant Saprotroph-Wood Saprotroph"
"126","k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys",45,36,0,0,0,0,63,80,20,40,0,0,0,0,0,28,0,0,0,0,11,3,0,2,0,0,4,6,8,7,0,14,0,0,0,0,0,0,0,0,0,0,15,36,57,0,80,"Wood Saprotroph"
"128","k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__unidentified",28,53,14,0,0,0,62,79,70,47,0,0,12,0,0,0,0,0,20,0,0,0,0,0,15,0,7,15,61,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"Undefined Saprotroph"
"129","k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__unidentified",96,33,0,0,8,0,90,53,52,0,0,7,0,0,0,0,0,0,52,35,0,0,34,0,14,0,0,0,30,29,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,"Undefined Saprotroph"
"130","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,376,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph"
"131","k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__unidentified",127,96,0,11,0,10,20,49,13,36,8,0,19,0,0,0,0,8,22,42,0,0,0,40,0,0,0,0,19,0,7,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,"Undefined Saprotroph"
"132","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__unidentified;s__unidentified",0,2,0,0,0,0,0,0,0,5,0,0,0,48,57,0,0,0,0,0,5,22,0,0,0,0,15,0,202,0,0,0,0,14,0,17,0,0,0,0,0,0,5,9,50,78,0,"Lichenized-Undefined Saprotroph"
"133","k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__unidentified",44,88,0,0,0,22,52,19,74,0,9,0,0,0,0,0,0,0,61,57,27,0,13,0,0,20,0,0,0,15,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,"Undefined Saprotroph"
"136","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Lichenized-Undefined Saprotroph"
"138","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae",11,34,0,0,0,0,10,10,12,19,0,0,0,0,0,0,0,0,18,184,0,0,0,0,31,20,25,57,51,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Plant Saprotroph-Wood Saprotroph"
"141","k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Terramycetaceae;g__Terramyces;s__unidentified",0,0,0,0,0,0,16,37,0,0,0,0,0,13,0,20,0,12,62,30,45,0,78,82,0,0,0,0,0,2,0,0,0,13,19,0,0,0,0,0,0,0,6,0,33,0,17,"Undefined Saprotroph"
"144","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ectomycorrhizal-Fungal Parasite"
"145","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__unidentified",0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Undefined Saprotroph"
"147","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena",0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ectomycorrhizal-Fungal Parasite"
