Feature ID	Taxon	Consensus
5d061485dbf47e306cced514341f3705	k__Fungi;p__Rozellomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	1.0
931957492d7a8f2068fffe89849d7ac9	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__unidentified	1.0
c776dd86c3990d0d4fcf4cbd17fc516f	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__unidentified	1.0
5f8682fdfa3e72e42c4a4b3ed8331f0a	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	1.0
d116f4414fdfda76b4edf3e43b7c7a18	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__unidentified	1.0
60833a8dcfaa27ed59fe52ea30bec573	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__unidentified;s__unidentified	1.0
50fac002655d93e22aa9caea95d7a25f	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__unidentified	1.0
05bb770f0e0b8ae3e350adc51db52aba	k__Fungi;p__Ascomycota	0.75
e23f783c996f54f91701109b27a91f3b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae	0.9
59fc8627d6f1b2edf26fe84c73be3ef8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__unidentified;s__unidentified	0.9
e3f039cfbf4432e0d19b507d1865966d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae	0.9
0cd42df55d0817d5557acb2e876386df	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae	1.0
78ea57bee4313715707803914b7466be	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lyophyllaceae;g__Lyophyllum	0.7
57f61f2c02372b531b56765c8b06d3cd	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__Metarhizium_anisopliae	0.6
e22e4dc33b70b7c344b0291228e45b19	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Terramycetaceae;g__Terramyces;s__unidentified	1.0
202a28c4850317dc1a6429bd894a6a79	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_solani	0.6
5bddead2bb2f44e901a0f1210d8292de	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma	1.0
81b9e0ccb93fa570be73cc029a665435	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae	0.7
b6ccbeedbdacbdd91dca69038a48cc59	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__unidentified	0.9
5bf269e4b1b473d864e75aeae8ef352c	k__Fungi;p__Ascomycota;c__Leotiomycetes	0.625
432bdebe360d141dc23991ad31985c11	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena	1.0
70300d4afa9a23b44ccca6d073f468c3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae	1.0
a15281bd793a9713d68675d88f798cec	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.9
9a742e246be8b475dfbdf4eba50954aa	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.9
7b02f8ee224f6a3ba0b3eab62e7e0d30	k__Fungi;p__Ascomycota	1.0
c92c05ff6972efb9797b774ca1204835	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	1.0
93daa0e7e3cf2863cc3e10b11f29adbd	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.7
e2bcbe3ba4de3151d1cbdefec714d30d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	1.0
8aa05393055edc1443e249bbe070b00d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum	1.0
8914d71bc1a74d5941e7618a15a6139b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.7
3a73e6749485639b397b54f1506742b8	k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__unidentified;g__unidentified;s__unidentified	0.8
a2a9b8a03264afd12fc37e96fd9f8a5b	k__Fungi;p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Glutinoglossum	0.8
ff3d9b9972a57520ea1dbacbbeaa6844	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_hamatum	0.7
2695349745f71d35893d50f3cad15f96	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.9
888bf9252c55f61b949da3e4d7f5363a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__unidentified;s__unidentified	0.6
1d543e6bf845e795b73ee3c008afbd60	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	0.9
df623b1b15933a9749f5fd6fb8f53595	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.8
f39fa0830c295be2c80b9fc50d5867b9	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron	0.9
51a30ecdedfb09d680409f18fbbc8868	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.7
b97bca87c3fe78e9c5d0bbea3f9e67dc	k__Fungi;p__Ascomycota;c__Eurotiomycetes	1.0
4559d29c1e8831affe58aca8aa151f93	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.8
b9de9141ea08ca58dbc831913e1ccef6	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae	0.6
ce8497398f752c501e7a85929fc1338e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae	0.8
6222d506c90478b7b7cbe388fa7169db	k__Fungi;p__Ascomycota;c__Sordariomycetes	1.0
c06c73d386121645168fe33a5e9d161e	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.6
